id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,net_profit_margin_pct,operating_profit_margin_pct,roe_calculated,roce_calculated,roa_calculated,id,roce_percentage,roe_percentage,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover
103,ADANIENT,Mar 2018,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,175,110.0,14979,17637,23679,56405,10555,5526,1461,38864,56405,1.653490702594366,5.673087629439929,3.936642587315263,6.227464401393387,1.0530981295984398,ADANIENT,11.6,13.64,1.1688647359003248,False,1.9208,,False,16176,0.6368938923854268
104,ADANIENT,Mar 2019,40379,38409,1969.0,5.0,504,1625,390,459,32.0,506,7.0,6.0,176,110.0,14646,11243,16537,42536,9020,5765,1511,26240,42536,1.2531266252259838,4.876297085118502,3.429113580916238,7.57336820646948,1.1895805905585857,ADANIENT,11.6,13.64,0.7619273515857956,False,1.5218461538461538,,False,9732,0.9492900131653188
105,ADANIENT,Mar 2020,43403,41108,2294.0,5.0,872,1572,472,1122,29.0,1040,10.0,10.0,177,110.0,16837,12419,17509,46875,10476,7347,1952,27099,46875,2.3961477317236133,5.285348939013432,6.136779370980115,7.811755090921474,2.2186666666666666,ADANIENT,11.6,13.64,0.7328140673865581,False,2.013994910941476,,False,10467,0.9259306666666667
106,ADANIENT,Mar 2021,39537,37031,2506.0,6.0,494,1377,537,1086,31.0,1046,8.0,12.0,178,110.0,17049,16227,18231,51617,10838,8825,5503,26451,51617,2.645623087234742,6.338366593317652,6.0959263360335685,7.506140298328641,2.026464149408141,ADANIENT,11.6,13.64,0.9456844804475786,False,2.178649237472767,,False,10724,0.7659685762442606
107,ADANIENT,Mar 2022,69420,65707,3714.0,5.0,1012,2526,1248,952,50.0,788,7.0,14.0,179,110.0,22147,41604,37726,101586,30123,23544,4292,43627,101586,1.135119562085854,5.3500432152117545,3.5404591813811384,5.815756095269413,0.7756974386234324,ADANIENT,11.6,13.64,1.8692546165251382,False,1.870942201108472,,False,37312,0.6833618805740949
108,ADANIENT,Mar 2023,127540,118722,8818.0,7.0,834,3969,2436,3247,32.0,2422,22.0,6.0,180,114.0,32937,53200,55027,141278,56881,24025,6310,54062,141278,1.899012074643249,6.913909361768857,7.328068742246831,10.223649580874424,1.7143504296493437,ADANIENT,11.6,13.64,1.6096335965628876,False,2.431846812799194,,False,46890,0.9027590990812441
109,ADANIENT,Mar 2024,96421,85044,11377.0,12.0,1146,4555,3042,4926,33.0,3335,28.0,5.0,181,114.0,38962,65310,56200,160586,65978,35180,8701,50728,160586,3.458790097592848,11.799296833677312,8.534650424813185,10.89897112639626,2.076768834144944,ADANIENT,11.6,13.64,1.671358378544375,False,2.7492864983534577,,False,56609,0.6004321671876751
111,ADANIGREEN,Mar 2017,502,98,403.0,80.0,80,334,333,-184,-75.0,-47,0.0,0.0,192,1274.0,-71,4347,610,6160,4341,267,26,1525,6160,-9.362549800796813,80.2788844621514,-3.906899418121363,7.261261261261261,-0.762987012987013,ADANIGREEN,96.5,14.7,3.6134663341645887,False,1.4461077844311376,,True,4321,0.08149350649350649
112,ADANIGREEN,Mar 2018,1480,637,843.0,57.0,42,552,543,-210,-35.0,-138,-1.0,0.0,193,1564.0,-223,9864,4503,15709,9120,1725,87,4777,15709,-9.324324324324325,56.95945945945946,-10.290827740492169,7.523427041499331,-0.8784773060029283,ADANIGREEN,96.5,14.7,7.355704697986577,True,1.6032608695652173,,False,9777,0.09421350818002419
113,ADANIGREEN,Mar 2019,2058,532,1526.0,74.0,73,1121,1062,-585,-19.0,-475,-3.0,0.0,194,1564.0,369,11142,1582,14658,10388,743,77,3449,14658,-23.080660835762874,74.14965986394559,-24.573202276254527,11.671128107074571,-3.240551234820576,ADANIGREEN,96.5,14.7,5.764097258147957,True,1.4264049955396967,,True,11065,0.14040114613180515
114,ADANIGREEN,Mar 2020,2549,1098,1450.0,57.0,-111,995,394,-50,23.0,-68,0.0,0.0,195,1564.0,793,14866,1201,18424,12554,1208,476,4186,18424,-2.6677128285602194,56.88505296194586,-2.8850233347475602,8.418974626952332,-0.36908380373425964,ADANIGREEN,96.5,14.7,6.307170131523122,True,1.3457286432160804,,True,14390,0.13835214937038645
115,ADANIGREEN,Mar 2021,3124,883,2241.0,72.0,391,1953,486,193,6.0,182,1.0,0.0,196,1564.0,636,24209,2283,28692,16429,4452,502,7309,28692,5.8258642765685025,71.73495518565942,8.272727272727273,8.485743496535273,0.6343231562804963,ADANIGREEN,96.5,14.7,11.004090909090909,True,1.3476702508960574,,True,23707,0.10888052418792694
116,ADANIGREEN,Mar 2022,5133,1621,3512.0,68.0,507,2617,849,553,12.0,489,3.0,0.0,197,1564.0,1050,52832,3508,58954,28452,19999,574,10029,58954,9.526592635885448,68.42002727449834,18.706962509563887,6.334090827111064,0.8294602571496421,ADANIGREEN,96.5,14.7,20.211170619739864,True,1.5357279327474207,,False,52258,0.08706788343454218
117,ADANIGREEN,Mar 2023,7776,2806,4970.0,64.0,667,2911,1300,1426,32.0,973,6.0,0.0,198,1584.0,5720,54223,5382,66909,48336,5291,1149,12133,66909,12.512860082304528,63.91460905349794,13.321467688937568,8.07775448177223,1.4542139323558863,ADANIGREEN,96.5,14.7,7.423740416210296,True,1.936447956028856,,False,53074,0.11621754920862665
118,ADANIGREEN,Mar 2024,9220,1902,7318.0,79.0,1262,5006,1903,1671,25.0,1260,7.0,0.0,199,1584.0,8250,64858,13394,88086,62284,6427,1515,17860,88086,13.665943600867678,79.3709327548807,12.812690665039659,9.797568682054303,1.430420271098699,ADANIGREEN,96.5,14.7,6.595281675818589,True,1.713943268078306,,False,63343,0.10467043571055559
120,ADANIPORTS,Mar 2013,3577,1195,2382.0,67.0,344,542,422,1762,7.0,1639,8.0,12.0,201,401.0,5993,11620,3022,21035,11382,2951,222,6480,21035,45.820519988817445,66.59211629857423,25.633406318423525,13.22304873986899,7.791775612075114,ADANIPORTS,12.9,18.1,1.817328745699093,False,5.029520295202952,,False,11398,0.17004991680532447
121,ADANIPORTS,Mar 2014,4830,1910,2919.0,60.0,685,977,649,1978,12.0,1741,8.0,12.0,202,414.0,8351,12979,2933,24677,13163,2025,63,9426,24677,36.04554865424431,60.43478260869565,19.86309184255562,13.42439293598234,7.055152571220165,ADANIPORTS,12.9,18.1,1.4807758128921849,False,3.6888433981576254,,False,12916,0.19572881630668235
122,ADANIPORTS,Mar 2015,6152,2250,3902.0,63.0,686,1175,912,2501,7.0,2324,11.0,10.0,203,414.0,10351,17776,3541,32082,20527,1276,260,10020,32082,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,7.243937410385887,ADANIPORTS,12.9,18.1,1.651277287505806,False,3.90468085106383,,False,17516,0.19175861853999127
123,ADANIPORTS,Mar 2016,7109,2532,4577.0,64.0,730,1124,1063,3119,9.0,2856,14.0,8.0,204,414.0,13091,22342,2538,38385,20883,1967,545,14990,38385,40.17442678295119,64.38317625545083,21.147723065531284,12.768153541440007,7.44040640875342,ADANIPORTS,12.9,18.1,1.6543502406516104,False,4.72153024911032,,False,21797,0.18520255308063047
124,ADANIPORTS,Mar 2017,8439,3021,5418.0,64.0,1037,1116,1160,4179,7.0,3902,19.0,7.0,205,414.0,17112,22214,3629,43369,21054,4514,1161,16641,43369,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,8.997209988701607,ADANIPORTS,12.9,18.1,1.2674883030925481,False,5.784050179211469,,False,21053,0.19458599460444095
125,ADANIPORTS,Mar 2018,11323,4166,7157.0,63.0,844,1579,1188,5234,30.0,3690,18.0,11.0,206,414.0,20489,22370,3960,47233,22670,4545,1079,18938,47233,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,7.812334596574429,ADANIPORTS,12.9,18.1,1.0701813136870306,False,5.067131095630145,,False,21291,0.23972646243092752
126,ADANIPORTS,Mar 2019,10925,4330,6596.0,60.0,1289,1385,1373,5126,21.0,4045,19.0,1.0,207,414.0,23958,27712,4228,56311,28121,4483,782,22924,56311,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,7.183321198344907,ADANIPORTS,12.9,18.1,1.1370425077958313,False,5.693140794223827,,False,26930,0.19401182717408677
127,ADANIPORTS,Mar 2020,11873,5926,5947.0,50.0,1928,1951,1680,4244,11.0,3785,19.0,17.0,208,406.0,25051,30242,6217,61917,32715,3216,1178,24808,61917,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,6.113022271750893,ADANIPORTS,12.9,18.1,1.1879640177554307,False,4.036391594054331,,False,29064,0.1917567065587803
128,ADANIPORTS,Mar 2021,12550,3862,8688.0,69.0,1967,2255,2107,6292,20.0,5049,25.0,20.0,209,406.0,30035,35855,8285,74582,48291,3697,2236,20358,74582,40.23107569721115,69.22709163346613,16.586183108307875,13.104863038494027,6.769729961652946,ADANIPORTS,12.9,18.1,1.1778522387569397,False,4.725055432372505,,False,33619,0.16827116462417205
129,ADANIPORTS,Mar 2022,17119,7591,9528.0,56.0,1832,2544,3099,5717,13.0,4953,23.0,22.0,210,422.0,41399,47935,8572,98328,62553,4023,3161,28591,98328,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,5.037222357822797,ADANIPORTS,12.9,18.1,1.1461944955883407,False,4.465408805031447,,False,44774,0.1741009681881051
130,ADANIPORTS,Mar 2023,20852,9905,10947.0,52.0,327,2363,3425,5487,2.0,5391,25.0,20.0,211,432.0,44957,53434,13740,112563,72224,6637,7432,26271,112563,25.85363514291195,52.498561289084975,11.8773271056864,11.077380771682705,4.789317981930119,ADANIPORTS,12.9,18.1,1.1772455881380952,False,4.771053745239103,,False,46002,0.18524737258246493
131,ADANIPORTS,Mar 2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,212,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,6.926554927819896,ADANIPORTS,12.9,18.1,0.9373223691689719,False,5.949506037321624,,False,45181,0.22830109659056916
133,ADANIPORTS,Mar 2013,3577,1195,2382.0,67.0,344,542,422,1762,7.0,1639,8.0,12.0,201,401.0,5993,11620,3022,21035,11382,2951,222,6480,21035,45.820519988817445,66.59211629857423,25.633406318423525,13.22304873986899,7.791775612075114,ADANIPORTS,12.9,18.1,1.817328745699093,False,5.029520295202952,,False,11398,0.17004991680532447
134,ADANIPORTS,Mar 2014,4830,1910,2919.0,60.0,685,977,649,1978,12.0,1741,8.0,12.0,202,414.0,8351,12979,2933,24677,13163,2025,63,9426,24677,36.04554865424431,60.43478260869565,19.86309184255562,13.42439293598234,7.055152571220165,ADANIPORTS,12.9,18.1,1.4807758128921849,False,3.6888433981576254,,False,12916,0.19572881630668235
135,ADANIPORTS,Mar 2015,6152,2250,3902.0,63.0,686,1175,912,2501,7.0,2324,11.0,10.0,203,414.0,10351,17776,3541,32082,20527,1276,260,10020,32082,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,7.243937410385887,ADANIPORTS,12.9,18.1,1.651277287505806,False,3.90468085106383,,False,17516,0.19175861853999127
136,ADANIPORTS,Mar 2016,7109,2532,4577.0,64.0,730,1124,1063,3119,9.0,2856,14.0,8.0,204,414.0,13091,22342,2538,38385,20883,1967,545,14990,38385,40.17442678295119,64.38317625545083,21.147723065531284,12.768153541440007,7.44040640875342,ADANIPORTS,12.9,18.1,1.6543502406516104,False,4.72153024911032,,False,21797,0.18520255308063047
137,ADANIPORTS,Mar 2017,8439,3021,5418.0,64.0,1037,1116,1160,4179,7.0,3902,19.0,7.0,205,414.0,17112,22214,3629,43369,21054,4514,1161,16641,43369,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,8.997209988701607,ADANIPORTS,12.9,18.1,1.2674883030925481,False,5.784050179211469,,False,21053,0.19458599460444095
138,ADANIPORTS,Mar 2018,11323,4166,7157.0,63.0,844,1579,1188,5234,30.0,3690,18.0,11.0,206,414.0,20489,22370,3960,47233,22670,4545,1079,18938,47233,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,7.812334596574429,ADANIPORTS,12.9,18.1,1.0701813136870306,False,5.067131095630145,,False,21291,0.23972646243092752
139,ADANIPORTS,Mar 2019,10925,4330,6596.0,60.0,1289,1385,1373,5126,21.0,4045,19.0,1.0,207,414.0,23958,27712,4228,56311,28121,4483,782,22924,56311,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,7.183321198344907,ADANIPORTS,12.9,18.1,1.1370425077958313,False,5.693140794223827,,False,26930,0.19401182717408677
140,ADANIPORTS,Mar 2020,11873,5926,5947.0,50.0,1928,1951,1680,4244,11.0,3785,19.0,17.0,208,406.0,25051,30242,6217,61917,32715,3216,1178,24808,61917,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,6.113022271750893,ADANIPORTS,12.9,18.1,1.1879640177554307,False,4.036391594054331,,False,29064,0.1917567065587803
141,ADANIPORTS,Mar 2021,12550,3862,8688.0,69.0,1967,2255,2107,6292,20.0,5049,25.0,20.0,209,406.0,30035,35855,8285,74582,48291,3697,2236,20358,74582,40.23107569721115,69.22709163346613,16.586183108307875,13.104863038494027,6.769729961652946,ADANIPORTS,12.9,18.1,1.1778522387569397,False,4.725055432372505,,False,33619,0.16827116462417205
142,ADANIPORTS,Mar 2022,17119,7591,9528.0,56.0,1832,2544,3099,5717,13.0,4953,23.0,22.0,210,422.0,41399,47935,8572,98328,62553,4023,3161,28591,98328,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,5.037222357822797,ADANIPORTS,12.9,18.1,1.1461944955883407,False,4.465408805031447,,False,44774,0.1741009681881051
143,ADANIPORTS,Mar 2023,20852,9905,10947.0,52.0,327,2363,3425,5487,2.0,5391,25.0,20.0,211,432.0,44957,53434,13740,112563,72224,6637,7432,26271,112563,25.85363514291195,52.498561289084975,11.8773271056864,11.077380771682705,4.789317981930119,ADANIPORTS,12.9,18.1,1.1772455881380952,False,4.771053745239103,,False,46002,0.18524737258246493
144,ADANIPORTS,Mar 2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,212,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,6.926554927819896,ADANIPORTS,12.9,18.1,0.9373223691689719,False,5.949506037321624,,False,45181,0.22830109659056916
146,ADANIPOWER,Mar 2013,6692,5732,960.0,14.0,215,1703,1290,-1818,26.0,-2295,-10.0,0.0,214,2393.0,1900,41795,8599,54688,29089,18976,22,6600,54688,-34.294680215182304,14.34548714883443,-53.459119496855344,2.0829717063009894,-4.1965330602691635,ADANIPOWER,32.2,57.1,9.735616119263918,True,0.6899588960657663,,True,41773,0.12236688121708601
147,ADANIPOWER,Mar 2014,15328,10735,4593.0,30.0,137,4162,1937,-1370,-79.0,-291,-1.0,0.0,215,2872.0,3671,44150,8045,58739,46365,3660,115,8599,58739,-1.8984864300626305,29.964770354906058,-4.447501146263182,9.060422543546446,-0.49541190691023,ADANIPOWER,32.2,57.1,6.747669264863212,True,1.1364728495915426,,True,44035,0.2609509865676978
148,ADANIPOWER,Mar 2015,18683,14005,4678.0,25.0,1188,4864,1818,-816,0.0,-816,-3.0,0.0,216,2872.0,2853,44742,8008,58474,45080,191,357,12846,58474,-4.367606915377617,25.03880533104962,-14.253275109170305,9.26942358372798,-1.3954920135444813,ADANIPOWER,32.2,57.1,7.815196506550218,True,1.2060032894736843,,True,44385,0.3195095256011219
149,ADANIPOWER,Mar 2016,25377,16575,8802.0,35.0,-201,5560,2666,375,-47.0,551,2.0,0.0,217,3334.0,4134,52729,15597,75794,56941,88,0,18765,75794,2.171257437837412,34.6849509398274,7.378146759507231,14.621991129126036,0.7269704725967755,ADANIPOWER,32.2,57.1,7.06065881092662,True,1.5469424460431656,,False,52729,0.33481542074570547
150,ADANIPOWER,Mar 2017,22616,16635,5980.0,26.0,-3666,5902,2672,-6260,-1.0,-6174,-16.0,0.0,218,3857.0,-857,52484,16027,71511,54391,125,164,16831,71511,-27.299257163070394,26.44145737530951,-205.79999999999998,10.77788191190253,-8.633636783152241,ADANIPOWER,32.2,57.1,17.494666666666667,True,0.3920704845814978,,True,52320,0.31625903707121983
151,ADANIPOWER,Mar 2018,20304,14868,5436.0,27.0,754,5570,2699,-2079,0.0,-2103,-5.0,0.0,219,3857.0,-2968,52835,15804,69528,52137,120,0,17271,69528,-10.35756501182033,26.773049645390074,-236.55793025871765,10.118382845655573,-3.0246807041767347,ADANIPOWER,32.2,57.1,59.43194600674916,True,1.111310592459605,,True,52835,0.29202623403520883
152,ADANIPOWER,Mar 2019,23884,18901,4983.0,21.0,2448,5657,2751,-976,1.0,-984,-3.0,0.0,220,3857.0,3855,46980,13293,67985,50419,350,3,17213,67985,-4.119912912409982,20.86333947412494,-12.759336099585061,9.11102172164119,-1.4473780981098772,ADANIPOWER,32.2,57.1,6.091804979253112,True,1.313593777620647,,True,46977,0.3513127895859381
153,ADANIPOWER,Mar 2020,26468,20734,5734.0,22.0,323,5315,3006,-2265,0.0,-2275,-6.0,0.0,221,3857.0,2624,55199,13346,75025,55846,2347,3,16830,75025,-8.595284872298626,21.66389602538915,-35.102607622280516,9.296368352788587,-3.032322559146951,ADANIPOWER,32.2,57.1,8.517049837987965,True,1.139604891815616,,True,55196,0.3527890703098967
154,ADANIPOWER,Mar 2021,26221,17533,8688.0,33.0,1909,5106,3202,2289,45.0,1270,3.0,0.0,222,3857.0,9256,52519,13175,78806,52851,6439,20,19495,78806,4.84344609282636,33.13374775942947,9.685045374818882,13.237445148707947,1.6115524198665077,ADANIPOWER,32.2,57.1,4.005109433386716,False,2.0754014884449665,,False,52499,0.3327284724513362
